Hidden Units,Optimizer,Learning Rate,Batch Size,Accuracy,Recall,Precision,ROC,F1 Score
"(128, 64, 32)",adam,0.0001,32,84.4,38.8,41.3,0.651,40.0
"(64, 32, 16)",sgd,0.001,8,80.8,32.7,30.2,0.605,31.4
"(64, 32, 16)",sgd,0.001,16,81.4,36.7,32.7,0.625,34.6
"(64, 32, 16)",sgd,0.001,32,80.5,55.1,35.5,0.698,43.2
"(64, 32, 16)",sgd,0.0001,8,78.6,53.1,32.1,0.678,40.0
"(64, 32, 16)",sgd,0.0001,16,82.5,38.8,35.8,0.64,37.3
"(64, 32, 16)",sgd,0.0001,32,83.3,10.2,22.7,0.524,14.1
"(64, 32, 16)",adam,0.001,8,83.0,34.7,36.2,0.626,35.4
"(64, 32, 16)",adam,0.001,16,86.0,42.9,47.7,0.678,45.2
"(64, 32, 16)",adam,0.001,32,82.5,38.8,35.8,0.64,37.3
"(64, 32, 16)",adam,0.0001,8,81.9,38.8,34.5,0.637,36.5
"(64, 32, 16)",adam,0.0001,16,81.1,38.8,32.8,0.632,35.5
"(64, 32, 16)",adam,0.0001,32,81.9,36.7,34.0,0.628,35.3
"(32, 16, 8)",sgd,0.001,8,75.9,44.9,26.5,0.628,33.3
"(32, 16, 8)",sgd,0.001,16,79.7,42.9,31.3,0.642,36.2
"(32, 16, 8)",sgd,0.001,32,77.5,57.1,31.5,0.689,40.6
"(32, 16, 8)",sgd,0.0001,8,80.8,30.6,29.4,0.596,30.0
"(32, 16, 8)",sgd,0.0001,16,85.8,0.0,0.0,0.495,0.0
"(32, 16, 8)",sgd,0.0001,32,86.0,0.0,0.0,0.497,0.0
"(32, 16, 8)",adam,0.001,8,81.6,34.7,32.7,0.618,33.7
"(32, 16, 8)",adam,0.001,16,82.7,40.8,37.0,0.65,38.8
"(32, 16, 8)",adam,0.001,32,83.3,38.8,38.0,0.645,38.4
"(32, 16, 8)",adam,0.0001,8,81.6,51.0,36.8,0.687,42.7
"(32, 16, 8)",adam,0.0001,16,81.9,40.8,35.1,0.646,37.7
"(32, 16, 8)",adam,0.0001,32,84.1,42.9,41.2,0.667,42.0
"(16, 8, 4)",sgd,0.001,8,53.4,73.5,18.7,0.619,29.8
"(16, 8, 4)",sgd,0.001,16,84.9,59.2,45.3,0.741,51.3
"(16, 8, 4)",sgd,0.001,32,84.7,53.1,44.1,0.713,48.1
"(16, 8, 4)",sgd,0.0001,8,85.5,34.7,44.7,0.64,39.1
"(16, 8, 4)",sgd,0.0001,16,86.6,0.0,0.0,0.5,0.0
"(16, 8, 4)",sgd,0.0001,32,86.6,0.0,0.0,0.5,0.0
"(16, 8, 4)",adam,0.001,8,82.7,38.8,36.5,0.642,37.6
"(16, 8, 4)",adam,0.001,16,84.7,49.0,43.6,0.696,46.2
"(16, 8, 4)",adam,0.001,32,82.5,42.9,36.8,0.657,39.6
"(16, 8, 4)",adam,0.0001,8,83.0,44.9,38.6,0.669,41.5
"(16, 8, 4)",adam,0.0001,16,81.4,44.9,34.9,0.66,39.3
"(16, 8, 4)",adam,0.0001,32,83.8,55.1,42.2,0.717,47.8
"(8, 4, 2)",sgd,0.001,8,86.3,0.0,0.0,0.498,0.0
"(8, 4, 2)",sgd,0.001,16,86.3,0.0,0.0,0.498,0.0
"(8, 4, 2)",sgd,0.001,32,86.3,0.0,0.0,0.498,0.0
"(8, 4, 2)",sgd,0.0001,8,85.8,0.0,0.0,0.495,0.0
"(8, 4, 2)",sgd,0.0001,16,86.0,0.0,0.0,0.497,0.0
"(8, 4, 2)",sgd,0.0001,32,86.0,0.0,0.0,0.497,0.0
"(8, 4, 2)",adam,0.001,8,86.6,0.0,0.0,0.5,0.0
"(8, 4, 2)",adam,0.001,16,86.6,0.0,0.0,0.5,0.0
"(8, 4, 2)",adam,0.001,32,86.6,0.0,0.0,0.5,0.0
"(8, 4, 2)",adam,0.0001,8,86.0,0.0,0.0,0.497,0.0
"(8, 4, 2)",adam,0.0001,16,86.0,0.0,0.0,0.497,0.0
"(8, 4, 2)",adam,0.0001,32,86.0,0.0,0.0,0.497,0.0
